SUNE2,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
3/15/2016,3,15,0,0,0,0,0,0,0,0.798461795,6.022375584,8.920683861,9.117008209,8.715521812,8.418236732,8.285575867,8.537288666,8.519112587,8.307407379,6.5154953,1.199939966,0,0,0,0,0
3/16/2016,3,16,0,0,0,0,0,0,0,0.874610603,6.115986824,8.920683861,9.117008209,8.715521812,8.418236732,8.285575867,8.537288666,8.519112587,8.307407379,6.5154953,1.270359397,0,0,0,0,0
3/17/2016,3,17,0,0,0,0,0,0,0,1.022624969,6.115986824,8.920683861,9.117008209,8.715521812,8.418236732,8.285575867,8.40631485,8.519112587,8.307407379,6.532825947,1.382996798,0,0,0,0,0
3/18/2016,3,18,0,0,0,0,0,0,0,1.022624969,6.115986824,8.78082943,9.117008209,8.715521812,8.373152733,8.285575867,8.40631485,8.519112587,8.307407379,6.532825947,1.382996798,0,0,0,0,0
3/19/2016,3,19,0,0,0,0,0,0,0,1.133444667,6.349546909,8.78082943,9.117008209,8.715521812,8.373152733,8.38087368,8.40631485,8.519112587,8.307407379,6.532825947,1.382996798,0,0,0,0,0
3/20/2016,3,20,0,0,0,0,0,0,0,1.287141681,6.349546909,8.622945786,8.963222504,8.663731575,8.373152733,8.38087368,8.335378647,8.519112587,8.307407379,6.532825947,1.382996798,0,0,0,0,0
3/21/2016,3,21,0,0,0,0,0,0,6.80811E-06,1.287141681,6.349546909,8.520191193,8.664912224,8.4145298,8.20391655,8.38087368,8.157471657,8.334636688,8.106772423,6.532825947,1.382996798,0,0,0,0,0
3/22/2016,3,22,0,0,0,0,0,0,6.80811E-06,1.287141681,6.349546909,8.520191193,8.712781906,8.4145298,8.20391655,8.38087368,8.157471657,8.334636688,8.106772423,6.532825947,1.382996798,0,0,0,0,0
3/23/2016,3,23,0,0,0,0,0,0,6.80811E-06,1.379955769,6.349546909,8.320626259,8.712781906,8.681036949,8.453967094,8.38087368,8.138339996,8.470511436,8.106772423,6.532825947,1.382996798,0,0,0,0,0
3/24/2016,3,24,0,0,0,0,0,0,6.80811E-06,1.420246243,6.573982239,8.714333534,8.712781906,8.681036949,8.487723351,8.450325012,8.524278641,8.547664642,8.106772423,6.43371582,1.353204012,0,0,0,0,0
3/25/2016,3,25,0,0,0,0,0,0,0.000556683,1.548006535,7.065968513,9.10996151,9.322085381,9.002947807,8.720349312,8.645030022,8.712629318,8.913963318,8.678455353,7.082649708,1.708918214,0,0,0,0,0
3/26/2016,3,26,0,0,0,0,0,0,0.000556683,1.682861209,7.22731781,9.10996151,9.322085381,9.027819633,8.797430038,8.800909042,8.928696632,9.018815994,8.823791504,7.175599098,1.788133383,0,0,0,0,0
3/27/2016,3,27,0,0,0,0,0,0,0.002027625,1.819954157,7.372003555,9.205269814,9.375067711,9.027819633,8.797430038,8.829236984,8.928696632,9.018815994,8.823791504,7.175599098,1.788133383,0,0,0,0,0
3/28/2016,3,28,0,0,0,0,0,0,0.002027625,1.819954157,7.372003555,9.205269814,9.375067711,9.027819633,8.797430038,8.829236984,8.928696632,9.018815994,8.823791504,7.175599098,1.788133383,0,0,0,0,0
