SUNE1,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2/20/2016,2,20,0,0,0,0,0,0,0,0.081082709,3.805411339,7.840418339,8.293522835,8.00715065,7.669043541,7.537516594,7.714362144,7.982897282,7.663483143,5.044344902,0.377746761,0,0,0,0,0
2/21/2016,2,21,0,0,0,0,0,0,0,0.081082709,3.805411339,7.840418339,8.293522835,8.00715065,7.669043541,7.537516594,7.714362144,7.982897282,7.663483143,5.044344902,0.377746761,0,0,0,0,0
2/22/2016,2,22,0,0,0,0,0,0,0,0.137927562,4.434801102,8.316381454,8.499974251,8.195793152,7.892086029,7.786139965,7.936570644,8.18044281,7.961432457,5.631090641,0.530528247,0,0,0,0,0
2/23/2016,2,23,0,0,0,0,0,0,0,0.137927562,4.434801102,8.316381454,8.499974251,8.195793152,7.892086029,7.786139965,7.936570644,8.18044281,7.961432457,5.764987946,0.566437662,0,0,0,0,0
2/24/2016,2,24,0,0,0,0,0,0,0,0.167479709,4.682631969,8.353412628,8.602916718,8.270047188,7.9312253,7.84201622,7.985506058,8.232847214,8.122294426,5.902918816,0.607842028,0,0,0,0,0
2/25/2016,2,25,0,0,0,0,0,0,0,0.167479709,4.682631969,8.353412628,8.602916718,8.270047188,7.9312253,7.84201622,7.985506058,8.232847214,8.122294426,5.902918816,0.607842028,0,0,0,0,0
2/26/2016,2,26,0,0,0,0,0,0,0,0.167479709,4.682631969,8.353412628,8.602916718,8.270047188,7.9312253,7.84201622,7.985506058,8.232847214,8.122294426,5.902918816,0.607842028,0,0,0,0,0
2/27/2016,2,27,0,0,0,0,0,0,0,0.25764814,4.682631969,8.353412628,8.602916718,8.270047188,7.9312253,7.84201622,7.985506058,8.232847214,8.122294426,5.902918816,0.607842028,0,0,0,0,0
2/28/2016,2,28,0,0,0,0,0,0,0,0.25764814,4.682631969,8.353412628,8.602916718,8.270047188,7.9312253,7.84201622,7.985506058,8.232847214,8.122294426,5.902918816,0.607842028,0,0,0,0,0
3/1/2016,3,1,0,0,0,0,0,0,0,0.272486836,4.682631969,8.353412628,8.602916718,8.270047188,7.9312253,7.84201622,7.985506058,8.232847214,8.122294426,5.902918816,0.607842028,0,0,0,0,0
3/2/2016,3,2,0,0,0,0,0,0,0,0.272486836,4.682631969,8.353412628,8.602916718,8.270047188,7.9312253,7.84201622,7.985506058,8.232847214,8.122294426,5.902918816,0.686627328,0,0,0,0,0
3/3/2016,3,3,0,0,0,0,0,0,0,0.272486836,4.423285007,8.113357544,8.42175293,8.132116318,7.858787537,7.753772259,7.821482182,8.038244247,7.603536129,4.674432278,0.686627328,0,0,0,0,0
3/4/2016,3,4,0,0,0,0,0,0,0,0.399098426,3.918970108,7.344961643,8.365067482,8.326439857,8.020927429,8.184126854,7.945867062,6.794125557,7.091603279,5.8153615,0.686627328,0,0,0,0,0
3/5/2016,3,5,0,0,0,0,0,0,0,0.399098426,3.918970108,7.344961643,8.365067482,8.326439857,8.020927429,8.184126854,7.945867062,6.794125557,7.091603279,5.8153615,0.686627328,0,0,0,0,0
3/6/2016,3,6,0,0,0,0,0,0,0,0.443711311,5.195166588,8.05095005,8.734176636,8.426990509,8.139105797,8.184126854,8.254094124,8.41809845,8.102869034,5.894992352,0.781763434,0,0,0,0,0
3/7/2016,3,7,0,0,0,0,0,0,0,0.443711311,5.195166588,8.05095005,8.734176636,8.426990509,8.139105797,8.184126854,8.254094124,8.41809845,8.102869034,5.894992352,0.781763434,0,0,0,0,0
3/8/2016,3,8,0,0,0,0,0,0,0,0.443711311,5.195166588,8.05095005,8.734176636,8.426990509,8.139105797,8.184126854,8.254094124,8.41809845,8.102869034,5.894992352,0.781763434,0,0,0,0,0
3/9/2016,3,9,0,0,0,0,0,0,0,0.443711311,5.195166588,8.05095005,8.734176636,8.426990509,8.139105797,8.184126854,8.254094124,8.41809845,8.102869034,5.894992352,0.781763434,0,0,0,0,0
3/10/2016,3,10,0,0,0,0,0,0,0,0.443711311,5.195166588,8.05095005,8.734176636,8.426990509,8.139105797,8.184126854,8.254094124,8.41809845,8.102869034,5.894992352,0.838376641,0,0,0,0,0
3/11/2016,3,11,0,0,0,0,0,0,0,0.715912819,6.077459335,8.604870796,8.738890648,8.426990509,8.153912544,8.13608551,8.254094124,8.41809845,8.102869034,5.894992352,0.838376641,0,0,0,0,0
